text,start,duration
hello everyone I am dr. pews Jenn I am,0.0,4.2
the director and senior consultant,2.399,4.23
physiotherapist at gem spine clinic,4.2,3.83
today we are going to talk about,6.629,3.961
diabetic neuropathy diabetic neuropathy,8.03,4.87
Cassie condition here this may accept,10.59,4.44
patient up in a pair of may pain or,12.9,4.53
tingling numbness feel Goethe or kabhi,15.03,4.259
kabhi burning sensation be feel Captain,17.43,3.509
Archer miss Kelly,19.289,4.471
Joe exercise Carney giant gay who say,20.939,5.01
hamari pyro get dared me tingling,23.76,5.04
numbness me or burning sensation mcafee,25.949,5.941
are Amara Hamada Pelle exerciser G say,28.8,6.06
Humbert a year later GCB position maker,31.89,4.95
sakti homicide from Netanyahu,34.86,4.5
jitna ho sakta hai uppercuts nahi teen,36.84,5.19
second Holger K me check each nahi teen,39.36,4.949
second holy Kirk a fear super kitchen,42.03,4.83
ahead hot sa he from the recipes burry,44.309,5.851
say repeat Carnahan sa hamari calf,46.86,5.609
muscle ski G say ham of Nippon Giachetti,50.16,4.289
he was the blood circulation improve,52.469,5.281
hoga or hamare pero may 3rd May burning,54.449,6.121
me or tingling mid-calf er Amelia hamari,57.75,4.98
do silly exercise hey this Muhammad,60.57,6.11
Nippon Joko clockwise or anticlockwise,62.73,8.45
rotate Carnahan he's exercise Kobe hum,66.68,8.02
pond'rous a bee's body repeat kar sakte,71.18,6.549
hain calf muscle samara body key second,74.7,6.12
heart ho Teja Dussehra hamara heart huh,77.729,5.011
Murray body may perceive blood KO flow,80.82,4.799
kurta Winnie chavista calf muscle Samar,82.74,4.62
in each is a blood cough local paper,85.619,3.061
it's superb HTM,87.36,3.509
his circulatory system cuz it Nahum,88.68,4.369
improve Karenga in exercises same,90.869,4.741
oklahomaís problem come holy how my,93.049,5.491
rotisserie exercise here standing me,95.61,7.02
it's mayhem I don't know / you do say,98.54,7.57
exa Cooper honey hey teen second the,102.63,6.5
cold cricket fit Nietzsche,106.11,6.329
Friedrichs athame Ponzio Donaghy teen,109.13,5.65
second took hold Kirk a fill-in Ichi,112.439,6.0
it's exercise me over up Chavo Tobin,114.78,6.93
ahold Kariba kar sakte ho TC TC Sahara,118.439,6.57
like a beaker sakte ho or agar Obinna,121.71,4.38
Sahara que carajo,125.009,3.901
so uh Papa balance or coordination be,126.09,6.81
improve Carter yet in exercise up,128.91,6.779
routine me cursor Trejo getting exercise,132.9,5.789
hum daily routine me those 13 berry,135.689,6.66
follow currently SK lava apni diabetic,138.689,6.39
maintenance apni glucose monitoring,142.349,4.351
substrate others you do rehab,145.079,4.86
apni died manage curry daily walk,146.7,5.34
occurring teens a Charlie to that pond,149.939,4.89
EPA or routine Mythili exercises you,152.04,5.279
read current yes RH is a kinase a hum,154.829,4.74
apne lifestyle coach change Kirk a auric,157.319,3.571
healthy life Catherine Bertini,159.569,5.631
thank you stay safe have a nice day,160.89,4.31
